word,type,syllables,joint_syllables
adaptabil,adjectiv,"['a', 'dap', 'tá', 'bil']",a-dap-tá-bil
adaptabilitate,substantiv,"['a', 'dap', 'ta', 'bi', 'li', 'tá', 'te']",a-dap-ta-bi-li-tá-te
adaptare,substantiv,"['a', 'dap', 'tá', 're']",a-dap-tá-re
adaptat,adjectiv,"['a', 'dap', 'tát']",a-dap-tát
adaptat,substantiv,"['a', 'dap', 'tát']",a-dap-tát
adaptație,substantiv,"['a', 'dap', 'tá', 'ţi', 'e']",a-dap-tá-ţi-e
adaptativ,adjectiv,"['a', 'dap', 'ta', 'tív']",a-dap-ta-tív
adaptator,adjectiv,"['a', 'dap', 'ta', 'tór']",a-dap-ta-tór
adaptator,substantiv,"['a', 'dap', 'ta', 'tór']",a-dap-ta-tór
adaptiv,adjectiv,"['a', 'dap', 'tív']",a-dap-tív
adaptometrie,substantiv,[],not-found
adaptometru,substantiv,[],not-found
adaptor,substantiv,"['a', 'dap', 'tór']",a-dap-tór
adăsta,verb,"['a', 'dás', 'tă']",a-dás-tă
adăstare,substantiv,"['a', 'dăs', 'tá', 're']",a-dăs-tá-re
adăstat,adjectiv,"['a', 'dăs', 'tát']",a-dăs-tát
adăuga,verb,"['a', 'dá', 'u', 'gă']",a-dá-u-gă
adăugare,substantiv,"['a', 'dă', 'u', 'gá', 're']",a-dă-u-gá-re
adăugat,adjectiv,"['a', 'dă', 'u', 'gát']",a-dă-u-gát
adăugat,substantiv,"['a', 'dă', 'u', 'gát']",a-dă-u-gát
adăugi,verb,"['a', 'dá', 'ugi']",a-dá-ugi
adăugire,substantiv,[],not-found
adăugit,adjectiv,[],not-found
adaus,substantiv,[],not-found
adaxial,adjectiv,"['a', 'da', 'xi', 'ál']",a-da-xi-ál
addendă,substantiv,"['ad', 'dén', 'da']",ad-dén-da
addendum,substantiv,[],not-found
adecuat,adjectiv,[],not-found
adecva,verb,"['a', 'dec', 'vá']",a-dec-vá
adecvare,substantiv,"['a', 'dec', 'vá', 're']",a-dec-vá-re
adecvat,adjectiv,"['a', 'dec', 'vát']",a-dec-vát
adecvație,substantiv,"['a', 'dec', 'vá', 'ţi', 'e']",a-dec-vá-ţi-e
ademeneală,substantiv,"['a', 'de', 'me', 'neá', 'la']",a-de-me-neá-la
ademeni,verb,"['a', 'de', 'me', 'ní']",a-de-me-ní
ademenire,substantiv,"['a', 'de', 'me', 'ní', 're']",a-de-me-ní-re
ademenit,adjectiv,"['a', 'de', 'me', 'nít']",a-de-me-nít
ademenit,substantiv,"['a', 'de', 'me', 'nít']",a-de-me-nít
ademenitoare,substantiv,"['a', 'de', 'me', 'ni', 'toá', 're']",a-de-me-ni-toá-re
ademenitor,adjectiv,"['a', 'de', 'me', 'ni', 'tór']",a-de-me-ni-tór
ademenitor,substantiv,"['a', 'de', 'me', 'ni', 'tór']",a-de-me-ni-tór
adempțiune,substantiv,"['a', 'demp', 'ţi', 'ú', 'ne']",a-demp-ţi-ú-ne
adenectomie,substantiv,[],not-found
adenie,substantiv,[],not-found
adenină,substantiv,"['a', 'de', 'ní', 'na']",a-de-ní-na
adenită,substantiv,"['a', 'de', 'ní', 'ta']",a-de-ní-ta
adenocarcinom,substantiv,"['a', 'de', 'no', 'car', 'ci', 'nóm']",a-de-no-car-ci-nóm
adenofibrom,substantiv,"['a', 'de', 'no', 'fi', 'bróm']",a-de-no-fi-bróm
adenogramă,substantiv,[],not-found
adenohipofiză,substantiv,"['a', 'de', 'no', 'hi', 'po', 'fí', 'za']",a-de-no-hi-po-fí-za
adenoid,adjectiv,"['a', 'de', 'no', 'íd']",a-de-no-íd
adenoidectomie,substantiv,[],not-found
adenoidism,substantiv,"['a', 'de', 'no', 'i', 'dísm']",a-de-no-i-dísm
adenoidită,substantiv,"['a', 'de', 'no', 'i', 'dí', 'ta']",a-de-no-i-dí-ta
adenom,substantiv,"['a', 'de', 'nóm']",a-de-nóm
adenomatoză,substantiv,[],not-found
adenomectomie,substantiv,[],not-found
adenomegalie,substantiv,[],not-found
adenopatie,substantiv,"['a', 'de', 'no', 'pa', 'tí', 'e']",a-de-no-pa-tí-e
adenoviroză,substantiv,"['a', 'de', 'no', 'vi', 'ró', 'za']",a-de-no-vi-ró-za
adenozină,substantiv,[],not-found
adept,substantiv,"['a', 'dépt']",a-dépt
adeptă,substantiv,"['a', 'dép', 'tă']",a-dép-tă
adera,verb,"['a', 'de', 'rá']",a-de-rá
aderare,substantiv,"['a', 'de', 'rá', 're']",a-de-rá-re
aderat,adjectiv,"['a', 'de', 'rát']",a-de-rát
aderat,substantiv,"['a', 'de', 'rát']",a-de-rát
aderent,adjectiv,"['a', 'de', 'rént']",a-de-rént
aderentă,substantiv,"['a', 'de', 'rén', 'tă']",a-de-rén-tă
aderență,substantiv,"['a', 'de', 'rén', 'tă']",a-de-rén-tă
adermină,substantiv,"['a', 'der', 'mí', 'na']",a-der-mí-na
adet,substantiv,[],not-found
adevăr-adevărat,substantiv,[],not-found
adevăr,substantiv,"['a', 'de', 'vắr']",a-de-vắr
adevăra,verb,[],not-found
adevărare,substantiv,[],not-found
adevărat,adjectiv,"['a', 'de', 'vă', 'rát']",a-de-vă-rát
adeveri,verb,"['a', 'de', 've', 'rí']",a-de-ve-rí
adeverință,substantiv,"['a', 'de', 've', 'rín', 'ţa']",a-de-ve-rín-ţa
adeverire,substantiv,"['a', 'de', 've', 'rí', 're']",a-de-ve-rí-re
adeverit,adjectiv,"['a', 'de', 've', 'rít']",a-de-ve-rít
adeverit,substantiv,"['a', 'de', 've', 'rít']",a-de-ve-rít
adeveritoare,substantiv,"['a', 'de', 've', 'ri', 'toá', 're']",a-de-ve-ri-toá-re
adeveritor,adjectiv,"['a', 'de', 've', 'ri', 'tór']",a-de-ve-ri-tór
adeveritor,substantiv,"['a', 'de', 've', 'ri', 'tór']",a-de-ve-ri-tór
adeziune,substantiv,"['a', 'de', 'zi', 'ú', 'ne']",a-de-zi-ú-ne
adeziv,adjectiv,"['a', 'de', 'zív']",a-de-zív
adeziv,substantiv,"['a', 'de', 'zív']",a-de-zív
adezivitate,substantiv,"['a', 'de', 'zi', 'vi', 'tá', 'te']",a-de-zi-vi-tá-te
adhocrație,substantiv,"['ad', 'ho', 'cra', 'ţí', 'e']",ad-ho-cra-ţí-e
adia,verb,"['a', 'di', 'á']",a-di-á
adiabată,substantiv,"['a', 'di', 'a', 'bá', 'ta']",a-di-a-bá-ta
adiabatic,adjectiv,"['a', 'di', 'a', 'bá', 'tic']",a-di-a-bá-tic
adiacent,adjectiv,"['a', 'di', 'a', 'cént']",a-di-a-cént
adiacență,substantiv,"['a', 'di', 'a', 'cén', 'tă']",a-di-a-cén-tă
adiafor,adjectiv,[],not-found
adiaforie,substantiv,"['a', 'dia', 'fo', 'rí', 'e']",a-dia-fo-rí-e
adiaforisi,verb,[],not-found
adiat,adjectiv,"['a', 'di', 'át']",a-di-át
adiată,substantiv,"['a', 'di', 'á', 'tă']",a-di-á-tă
adicție,substantiv,"['a', 'díc', 'ţi', 'e']",a-díc-ţi-e
adidas,substantiv,"['a', 'dí', 'das']",a-dí-das
adiere,substantiv,"['a', 'di', 'é', 're']",a-di-é-re
adimeni,verb,[],not-found
adimenire,substantiv,[],not-found
adimensional,adjectiv,"['a', 'di', 'men', 'sio', 'nál']",a-di-men-sio-nál
adinamic,adjectiv,"['a', 'di', 'ná', 'mic']",a-di-ná-mic
adinamie,substantiv,"['a', 'di', 'na', 'mí', 'e']",a-di-na-mí-e
adio,substantiv,"['a', 'dío']",a-dío
adipic,adjectiv,"['a', 'dí', 'pic']",a-dí-pic
adipocit,substantiv,[],not-found
adipogeneză,substantiv,"['a', 'di', 'po', 'ge', 'né', 'za']",a-di-po-ge-né-za
adipos,adjectiv,"['a', 'di', 'pós']",a-di-pós
adipozitate,substantiv,"['a', 'di', 'po', 'zi', 'tá', 'te']",a-di-po-zi-tá-te
adipsie,substantiv,"['a', 'dip', 'sí', 'e']",a-dip-sí-e
adiție,substantiv,"['a', 'dí', 'ţi', 'e']",a-dí-ţi-e
adiționa,verb,"['a', 'di', 'ţi', 'o', 'ná']",a-di-ţi-o-ná
adițional,adjectiv,"['a', 'di', 'ţi', 'o', 'nál']",a-di-ţi-o-nál
adiționare,substantiv,"['a', 'di', 'ţi', 'o', 'ná', 're']",a-di-ţi-o-ná-re
adiționat,adjectiv,"['a', 'di', 'ţi', 'o', 'nát']",a-di-ţi-o-nát
adițiune,substantiv,[],not-found
aditiv,adjectiv,"['a', 'di', 'tív']",a-di-tív
aditiv,substantiv,"['a', 'di', 'tív']",a-di-tív
aditivitate,substantiv,"['a', 'di', 'ti', 'vi', 'tá', 'te']",a-di-ti-vi-tá-te
adjectiv,substantiv,"['ad', 'jec', 'tív']",ad-jec-tív
adjectiva,verb,"['ad', 'jec', 'ti', 'vá']",ad-jec-ti-vá
adjectival,adjectiv,"['ad', 'jec', 'ti', 'vál']",ad-jec-ti-vál
adjectivare,substantiv,"['ad', 'jec', 'ti', 'vá', 're']",ad-jec-ti-vá-re
adjectivat,adjectiv,"['ad', 'jec', 'ti', 'vát']",ad-jec-ti-vát
adjectiviza,verb,"['ad', 'jec', 'ti', 'vi', 'zá']",ad-jec-ti-vi-zá
adjectivizare,substantiv,"['ad', 'jec', 'ti', 'vi', 'zá', 're']",ad-jec-ti-vi-zá-re
adjectivizat,adjectiv,"['ad', 'jec', 'ti', 'vi', 'zát']",ad-jec-ti-vi-zát
adjoncțiune,substantiv,"['ad', 'jonc', 'ţiú', 'ne']",ad-jonc-ţiú-ne
adjudeca,verb,"['ad', 'ju', 'de', 'cá']",ad-ju-de-cá
adjudecare,substantiv,"['ad', 'ju', 'de', 'cá', 're']",ad-ju-de-cá-re
adjudecat,adjectiv,"['ad', 'ju', 'de', 'cát']",ad-ju-de-cát
adjudecat,substantiv,"['ad', 'ju', 'de', 'cát']",ad-ju-de-cát
adjudecatar,substantiv,"['ad', 'ju', 'de', 'ca', 'tár']",ad-ju-de-ca-tár
adjudecatară,substantiv,"['ad', 'ju', 'de', 'ca', 'tá', 'ra']",ad-ju-de-ca-tá-ra
adjudecație,substantiv,"['ad', 'ju', 'de', 'cá', 'ţi', 'e']",ad-ju-de-cá-ţi-e
adjudecațiune,substantiv,[],not-found
adjudecătoare,substantiv,"['ad', 'ju', 'de', 'că', 'toá', 're']",ad-ju-de-că-toá-re
adjudecător,adjectiv,"['ad', 'ju', 'de', 'că', 'tór']",ad-ju-de-că-tór
adjudecător,substantiv,"['ad', 'ju', 'de', 'că', 'tór']",ad-ju-de-că-tór
adjunct,adjectiv,"['ad', 'júnc', 't']",ad-júnc-t
adjunct,substantiv,"['ad', 'júnc', 't']",ad-júnc-t
adjunctă,substantiv,"['ad', 'júnc', 'tă']",ad-júnc-tă
adjutant,substantiv,"['ad', 'ju', 'tánt']",ad-ju-tánt
adjutantură,substantiv,"['ad', 'ju', 'tan', 'tú', 'ra']",ad-ju-tan-tú-ra
adjuvant,adjectiv,"['ad', 'ju', 'vánt']",ad-ju-vánt
adjuvant,substantiv,"['ad', 'ju', 'vánt']",ad-ju-vánt
administra,verb,"['ad', 'mi', 'nis', 'trá']",ad-mi-nis-trá
administrabil,adjectiv,"['ad', 'mi', 'nis', 'trá', 'bil']",ad-mi-nis-trá-bil
administrare,substantiv,"['ad', 'mi', 'nis', 'trá', 're']",ad-mi-nis-trá-re
administrat,adjectiv,"['ad', 'mi', 'nis', 'trát']",ad-mi-nis-trát
administrată,substantiv,"['ad', 'mi', 'nis', 'trá', 'tă']",ad-mi-nis-trá-tă
administrație,substantiv,"['ad', 'mi', 'nis', 'trá', 'ţi', 'e']",ad-mi-nis-trá-ţi-e
administrațiune,substantiv,[],not-found
administrativ-teritorial,adjectiv,[],not-found
administrativ,adjectiv,"['ad', 'mi', 'nis', 'tra', 'tív']",ad-mi-nis-tra-tív
administratoare,substantiv,"['ad', 'mi', 'nis', 'tra', 'toá', 're']",ad-mi-nis-tra-toá-re
administrator-contabil,substantiv,[],not-found
administrator,substantiv,"['ad', 'mi', 'nis', 'tra', 'tór']",ad-mi-nis-tra-tór
admira,verb,"['ad', 'mi', 'rá']",ad-mi-rá
admirabil,adjectiv,"['ad', 'mi', 'rá', 'bil']",ad-mi-rá-bil
admirare,substantiv,"['ad', 'mi', 'rá', 're']",ad-mi-rá-re
admirat,adjectiv,"['ad', 'mi', 'rát']",ad-mi-rát
admirat,substantiv,"['ad', 'mi', 'rát']",ad-mi-rát
admirație,substantiv,"['ad', 'mi', 'rá', 'ţi', 'e']",ad-mi-rá-ţi-e
admirațiune,substantiv,[],not-found
admirativ,adjectiv,"['ad', 'mi', 'ra', 'tív']",ad-mi-ra-tív
admiratoare,substantiv,"['ad', 'mi', 'ra', 'toá', 're']",ad-mi-ra-toá-re
admirator,adjectiv,"['ad', 'mi', 'ra', 'tór']",ad-mi-ra-tór
admirator,substantiv,"['ad', 'mi', 'ra', 'tór']",ad-mi-ra-tór
admis,adjectiv,"['ad', 'mís']",ad-mís
admis,substantiv,"['ad', 'mís']",ad-mís
admisă,substantiv,"['ad', 'mí', 'să']",ad-mí-să
admisibil,adjectiv,"['ad', 'mi', 'sí', 'bil']",ad-mi-sí-bil
admisibilitate,substantiv,"['ad', 'mi', 'si', 'bi', 'li', 'tá', 'te']",ad-mi-si-bi-li-tá-te
admisie,substantiv,[],not-found
admisiune,substantiv,"['ad', 'mi', 'si', 'ú', 'ne']",ad-mi-si-ú-ne
admitant,adjectiv,[],not-found
admitanță,substantiv,"['ad', 'mi', 'tán', 'ţa']",ad-mi-tán-ţa
admite,verb,"['ad', 'mí', 'te']",ad-mí-te
admitere,substantiv,"['ad', 'mí', 'te', 're']",ad-mí-te-re
admonesta,verb,"['ad', 'mo', 'nes', 'tá']",ad-mo-nes-tá
admonestare,substantiv,"['ad', 'mo', 'nes', 'tá', 're']",ad-mo-nes-tá-re
admonestat,adjectiv,"['ad', 'mo', 'nes', 'tát']",ad-mo-nes-tát
admonestat,substantiv,"['ad', 'mo', 'nes', 'tát']",ad-mo-nes-tát
admonestație,substantiv,"['ad', 'mo', 'nes', 'tá', 'ţi', 'e']",ad-mo-nes-tá-ţi-e
admonițiune,substantiv,"['ad', 'mo', 'ni', 'ţi', 'ú', 'ne']",ad-mo-ni-ţi-ú-ne
admonitiv,adjectiv,"['ad', 'mo', 'ni', 'tív']",ad-mo-ni-tív
adnat,adjectiv,"['ad', 'nát']",ad-nát
adnominal,adjectiv,"['ad', 'no', 'mi', 'nál']",ad-no-mi-nál
adnota,verb,"['ad', 'no', 'tá']",ad-no-tá
adnotare,substantiv,"['ad', 'no', 'tá', 're']",ad-no-tá-re
adnotat,adjectiv,"['ad', 'no', 'tát']",ad-no-tát
adnotat,substantiv,"['ad', 'no', 'tát']",ad-no-tát
adnotație,substantiv,"['ad', 'no', 'tá', 'ţi', 'e']",ad-no-tá-ţi-e
adnotațiune,substantiv,[],not-found
adnotator,adjectiv,"['ad', 'no', 'ta', 'tór']",ad-no-ta-tór
adogmatic,substantiv,"['a', 'dog', 'má', 'tic']",a-dog-má-tic
adogmatică,substantiv,"['a', 'dog', 'má', 'ti', 'că']",a-dog-má-ti-că
adolescent,adjectiv,[],not-found
adolescent,substantiv,[],not-found
adolescentă,substantiv,"['a', 'do', 'les', 'cén', 'ta']",a-do-les-cén-ta
adolescență,substantiv,"['a', 'do', 'les', 'cén', 'ta']",a-do-les-cén-ta
adolescentin,adjectiv,"['a', 'do', 'les', 'cen', 'tín']",a-do-les-cen-tín
adolescentinism,substantiv,"['a', 'do', 'les', 'cen', 'ti', 'nísm']",a-do-les-cen-ti-nísm
adonic,adjectiv,"['a', 'dó', 'nic']",a-dó-nic
adonis,substantiv,"['a', 'dó', 'nis']",a-dó-nis
adopta,verb,"['a', 'dop', 'tá']",a-dop-tá
adoptabil,adjectiv,"['a', 'dop', 'tá', 'bil']",a-dop-tá-bil
adoptant,adjectiv,"['a', 'dop', 'tánt']",a-dop-tánt
adoptare,substantiv,"['a', 'dop', 'tá', 're']",a-dop-tá-re
adoptat,adjectiv,"['a', 'dop', 'tát']",a-dop-tát
adoptat,substantiv,"['a', 'dop', 'tát']",a-dop-tát
adoptată,substantiv,"['a', 'dop', 'tá', 'tă']",a-dop-tá-tă
adoptatoare,substantiv,"['a', 'dop', 'ta', 'toá', 're']",a-dop-ta-toá-re
adoptator,adjectiv,"['a', 'dop', 'ta', 'tór']",a-dop-ta-tór
adoptator,substantiv,"['a', 'dop', 'ta', 'tór']",a-dop-ta-tór
adopțianism,substantiv,[],not-found
adopție,substantiv,"['a', 'dóp', 'ţi', 'e']",a-dóp-ţi-e
adopțiune,substantiv,[],not-found
adoptiv,adjectiv,"['a', 'dop', 'tív']",a-dop-tív
adora,verb,"['a', 'do', 'rá']",a-do-rá
adorabil,adjectiv,"['a', 'do', 'rá', 'bil']",a-do-rá-bil
adorant,adjectiv,"['a', 'do', 'ránt']",a-do-ránt
adorare,substantiv,"['a', 'do', 'rá', 're']",a-do-rá-re
adorat,adjectiv,"['a', 'do', 'rát']",a-do-rát
adorat,substantiv,"['a', 'do', 'rát']",a-do-rát
adorație,substantiv,"['a', 'do', 'rá', 'ţi', 'e']",a-do-rá-ţi-e
adorațiune,substantiv,[],not-found
adoratoare,substantiv,"['a', 'do', 'ra', 'toá', 're']",a-do-ra-toá-re
adorator,substantiv,"['a', 'do', 'ra', 'tór']",a-do-ra-tór
adormi,verb,"['a', 'dor', 'mí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",a-dor-mí-(verb---infinitiv-/-verb---perfectul-simplu)
adormire,substantiv,"['a', 'dor', 'mí', 're']",a-dor-mí-re
adormit,adjectiv,"['a', 'dor', 'mít']",a-dor-mít
adormit,substantiv,"['a', 'dor', 'mít']",a-dor-mít
adormită,substantiv,"['a', 'dor', 'mí', 'tă']",a-dor-mí-tă
adormitoare,substantiv,"['a', 'dor', 'mi', 'toá', 're']",a-dor-mi-toá-re
adormitor,substantiv,"['a', 'dor', 'mi', 'tór']",a-dor-mi-tór
adosat,adjectiv,"['a', 'do', 'sát']",a-do-sát
adragant,substantiv,"['a', 'dra', 'gánt']",a-dra-gánt
adrenalină,substantiv,"['a', 'dre', 'na', 'lí', 'na']",a-dre-na-lí-na
adrenalinemie,substantiv,[],not-found
adrenergic,adjectiv,"['a', 'dre', 'nér', 'gic']",a-dre-nér-gic
adrenocorticotrop,substantiv,[],not-found
adresă,substantiv,"['a', 'dre', 'sá', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",a-dre-sá-(verb---infinitiv-/-verb---imperfect)
adresa,verb,"['a', 'dre', 'sá', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",a-dre-sá-(verb---infinitiv-/-verb---imperfect)
adresabil,adjectiv,"['a', 'dre', 'sá', 'bil']",a-dre-sá-bil
adresabilitate,substantiv,"['a', 'dre', 'sa', 'bi', 'li', 'tá', 'te']",a-dre-sa-bi-li-tá-te
adresant,substantiv,"['a', 'dre', 'sánt']",a-dre-sánt
adresantă,substantiv,"['a', 'dre', 'sán', 'ta']",a-dre-sán-ta
adresare,substantiv,"['a', 'dre', 'sá', 're']",a-dre-sá-re
adresat,adjectiv,"['a', 'dre', 'sát']",a-dre-sát
adsorbant,adjectiv,"['ad', 'sor', 'bánt']",ad-sor-bánt
adsorbant,substantiv,"['ad', 'sor', 'bánt']",ad-sor-bánt
adsorbat,substantiv,"['ad', 'sor', 'bát']",ad-sor-bát
adsorbi,verb,"['ad', 'sor', 'bí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",ad-sor-bí-(verb---infinitiv-/-verb---perfectul-simplu)
adsorbit,adjectiv,"['ad', 'sor', 'bít']",ad-sor-bít
adsorbție,substantiv,"['ad', 'sórb', 'ţi', 'e']",ad-sórb-ţi-e
adstrat,substantiv,"['ad', 'strát']",ad-strát
aducător,adjectiv,"['a', 'du', 'că', 'tór']",a-du-că-tór
aducător,substantiv,"['a', 'du', 'că', 'tór']",a-du-că-tór
aduce,verb,"['a', 'dú', 'ce']",a-dú-ce
aducere-aminte,substantiv,"['a', 'dú', 'ce', 're', 'a', 'mín', 'te']",a-dú-ce-re-a-mín-te
aducere,substantiv,"['a', 'dú', 'ce', 're']",a-dú-ce-re
aduct,substantiv,"['a', 'dúct']",a-dúct
aducție,substantiv,"['a', 'dúc', 'ţi', 'e']",a-dúc-ţi-e
aducțiune,substantiv,[],not-found
aductor,adjectiv,"['a', 'duc', 'tór']",a-duc-tór
aductor,substantiv,"['a', 'duc', 'tór']",a-duc-tór
adula,verb,"['a', 'du', 'lá']",a-du-lá
adular,substantiv,"['a', 'du', 'lár']",a-du-lár
adulare,substantiv,"['a', 'du', 'lá', 're']",a-du-lá-re
adulat,adjectiv,"['a', 'du', 'lát']",a-du-lát
adulat,substantiv,"['a', 'du', 'lát']",a-du-lát
adulată,substantiv,"['a', 'du', 'lá', 'tă']",a-du-lá-tă
adulație,substantiv,"['a', 'du', 'lá', 'ţi', 'e']",a-du-lá-ţi-e
adulațiune,substantiv,[],not-found
adulatoare,substantiv,"['a', 'du', 'la', 'toá', 're']",a-du-la-toá-re
adulator,adjectiv,"['a', 'du', 'la', 'tór']",a-du-la-tór
adulator,substantiv,"['a', 'du', 'la', 'tór']",a-du-la-tór
adulmeca,verb,"['a', 'dul', 'me', 'cá']",a-dul-me-cá
adulmecare,substantiv,"['a', 'dul', 'me', 'cá', 're']",a-dul-me-cá-re
adulmecat,adjectiv,"['a', 'dul', 'me', 'cát']",a-dul-me-cát
adulmecat,substantiv,"['a', 'dul', 'me', 'cát']",a-dul-me-cát
adulmecător,adjectiv,"['a', 'dul', 'me', 'că', 'tór']",a-dul-me-că-tór
adult,adjectiv,"['a', 'dúlt']",a-dúlt
adult,substantiv,"['a', 'dúlt']",a-dúlt
adultă,substantiv,"['a', 'dúl', 'tă']",a-dúl-tă
adulter,adjectiv,"['a', 'dúl', 'ter']",a-dúl-ter
adulter,substantiv,"['a', 'dúl', 'ter']",a-dúl-ter
adultera,verb,"['a', 'dul', 'te', 'rá']",a-dul-te-rá
adulterare,substantiv,"['a', 'dul', 'te', 'rá', 're']",a-dul-te-rá-re
adulterat,adjectiv,"['a', 'dul', 'te', 'rát']",a-dul-te-rát
adulterin,adjectiv,"['a', 'dul', 'te', 'rín']",a-dul-te-rín
adumbri,verb,"['a', 'dum', 'brí']",a-dum-brí
adumbrire,substantiv,[],not-found
adumbrit,adjectiv,"['a', 'dum', 'brít']",a-dum-brít
adumbrit,substantiv,"['a', 'dum', 'brít']",a-dum-brít
aduna,verb,"['a', 'du', 'ná']",a-du-ná
adunare,substantiv,"['a', 'du', 'ná', 're']",a-du-ná-re
adunat,adjectiv,"['a', 'du', 'nát']",a-du-nát
adunat,substantiv,"['a', 'du', 'nát']",a-du-nát
adunătoare,substantiv,"['a', 'du', 'nă', 'toá', 're']",a-du-nă-toá-re
adunător,adjectiv,"['a', 'du', 'nă', 'tór']",a-du-nă-tór
adunător,substantiv,"['a', 'du', 'nă', 'tór']",a-du-nă-tór
adunătură,substantiv,"['a', 'du', 'nă', 'tú', 'ra']",a-du-nă-tú-ra
adunc,adjectiv,"['a', 'dúnc']",a-dúnc
aduncat,adjectiv,"['a', 'dun', 'cát']",a-dun-cát
adurmeca,verb,[],not-found
adurmecare,substantiv,[],not-found
