word,type
acciz,substantiv
acciză,substantiv
acciza,verb
accizare,substantiv
accizat,adjectiv
accize,substantiv
acefal,adjectiv
acefalie,substantiv
acelular,adjectiv
acentric,adjectiv
aceră,substantiv
acera,verb
aceratherium,substantiv
acerb,adjectiv
acetabuloplastie,substantiv
acetaldehidă,substantiv
acetamidă,substantiv
acetat,substantiv
acetazolamidă,substantiv
acetic,adjectiv
acetificare,substantiv
acetil,substantiv
acetilacetic,adjectiv
acetilacetic,substantiv
acetilare,substantiv
acetilceluloză,substantiv
acetilcolină,substantiv
acetilenă,substantiv
acetilenic,adjectiv
acetilsalicilic,adjectiv
acetilsalicilic,substantiv
acetilură,substantiv
acetobutirat,substantiv
acetofan,substantiv
acetofenonă,substantiv
acetonă,substantiv
acetonemic,adjectiv
acetonemie,substantiv
acetonurie,substantiv
achenă,substantiv
acherontic,adjectiv
acheulean,adjectiv
achiesa,verb
achiesare,substantiv
achiesat,adjectiv
achilie,substantiv
achinezie,substantiv
achingii,substantiv
achingiu,substantiv
achita,verb
achitabil,adjectiv
achitare,substantiv
achitat,adjectiv
achitat,substantiv
achiu,substantiv
achiziție,substantiv
achiziționa,verb
achiziționare,substantiv
achiziționat,adjectiv
achiziționat,substantiv
achizițiune,substantiv
achizitiv,adjectiv
achizitoare,substantiv
achizitor,substantiv
aciclic,adjectiv
acicol,adjectiv
acicul,substantiv
acicular,adjectiv
aciculat,adjectiv
acid,adjectiv
acid,substantiv
acidifiant,adjectiv
acidifica,verb
acidificare,substantiv
acidificat,adjectiv
acidimetric,adjectiv
acidimetrie,substantiv
aciditate,substantiv
acidizare,substantiv
acidocetoză,substantiv
acidofil,adjectiv
acidofilie,substantiv
acidogen,adjectiv
acidogeneză,substantiv
acidoliză,substantiv
acidometru,substantiv
acidorezistent,adjectiv
acidorezistență,substantiv
acidoză,substantiv
acidula,verb
acidulare,substantiv
acidulat,adjectiv
acidulat,substantiv
acidurie,substantiv
acil,substantiv
acila,verb
acilare,substantiv
acilat,adjectiv
acin,substantiv
acinos,adjectiv
acioaie,substantiv
acioală,substantiv
acira,verb
aciua,verb
aciuare,substantiv
aciuat,adjectiv
aciuat,substantiv
aciui,verb
aciuia,verb
aciuiat,adjectiv
aciuit,adjectiv
aciuit,substantiv
aclama,verb
aclamare,substantiv
aclamat,adjectiv
aclamat,substantiv
aclamație,substantiv
aclamațiune,substantiv
aclimatat,adjectiv
aclimatiza,verb
aclimatizare,substantiv
aclimatizat,adjectiv
aclimatizat,substantiv
acmeism,substantiv
acnee,substantiv
acneiform,adjectiv
acoi,substantiv
acoladă,substantiv
acolare,substantiv
acolat,adjectiv
acolisi,verb
acolisire,substantiv
acolisitor,adjectiv
acolit,substantiv
acolită,substantiv
acolo,adverb
acomoda,verb
acomodabil,adjectiv
acomodament,substantiv
acomodant,adjectiv
acomodare,substantiv
acomodat,adjectiv
acomodat,substantiv
acomodație,substantiv
acompania,verb
acompaniament,substantiv
acompaniat,adjectiv
acompaniat,substantiv
acompaniatoare,substantiv
acompaniator,adjectiv
acompaniator,substantiv
acompaniere,substantiv
acondroplazie,substantiv
aconit,substantiv
aconitină,substantiv
acont,substantiv
aconta,verb
acontare,substantiv
acontat,adjectiv
aconto,substantiv
acoperământ,substantiv
acoperemânt,substantiv
acoperi,verb
acoperire,substantiv
acoperiș,substantiv
acoperit,adjectiv
acoperit,substantiv
acoperitoare,substantiv
acoperitor,substantiv
acord,substantiv
acorda,verb
acordabil,adjectiv
acordaj,substantiv
acordare,substantiv
acordat,adjectiv
acordat,substantiv
acordeon,substantiv
acordeonist,adjectiv
acordic,adjectiv
acordică,substantiv
acordor,substantiv
acorporal,adjectiv
acosta,verb
acostament,substantiv
acostare,substantiv
acostat,adjectiv
acostat,substantiv
acraniată,substantiv
acranie,substantiv
acreală,substantiv
acredita,verb
acreditant,adjectiv
acreditar,adjectiv
acreditare,substantiv
acreditat,adjectiv
acreditat,substantiv
acreditată,substantiv
acreditiv,substantiv
acrescământ,substantiv
acri,verb
acribie,substantiv
acribios,adjectiv
acridă,substantiv
acridină,substantiv
acrilat,substantiv
acrilic,adjectiv
acrilonitril,substantiv
acrime,substantiv
acrimonie,substantiv
acrimonios,adjectiv
acrire,substantiv
acriș,substantiv
acrișor,adjectiv
acrit,adjectiv
acrit,substantiv
acritură,substantiv
acriu,adjectiv
acroamatic,adjectiv
acrobat,substantiv
acrobată,substantiv
acrobatic,adjectiv
acrobație,substantiv
acrocefalie,substantiv
acrocentric,adjectiv
acrocianoză,substantiv
acrodermatită,substantiv
acrodinie,substantiv
acrofobie,substantiv
acroleină,substantiv
acrolit,substantiv
acromat,substantiv
acromatic,adjectiv
acromatism,substantiv
acromatiza,verb
acromatopsie,substantiv
acromegalie,substantiv
acromelalgie,substantiv
acromial,adjectiv
acromic,adjectiv
acromicrie,substantiv
acromie,substantiv
acromioclavicular,adjectiv
acromion,substantiv
acromotrichie,substantiv
acronic,adjectiv
acronie,substantiv
acronim,adjectiv
acronim,substantiv
acronimie,substantiv
acroparestezie,substantiv
acropatie,substantiv
acropetal,adjectiv
acropolă,substantiv
acroșa,verb
acroșaj,substantiv
acroșare,substantiv
acroșat,adjectiv
acrostih,substantiv
acroteră,substantiv
acrozom,substantiv
acru,adjectiv
acru,substantiv
acruț,adjectiv
act,substantiv
acta,substantiv
actant,substantiv
actanțial,adjectiv
actinic,adjectiv
actinid,substantiv
actinide,substantiv
actinie,substantiv
actiniu,substantiv
actinobaciloză,substantiv
actinolit,substantiv
actinologie,substantiv
actinometrie,substantiv
actinometru,substantiv
actinomicete,substantiv
actinomicoză,substantiv
actinomorf,adjectiv
actinopterigian,substantiv
actinopterigieni,substantiv
actinoterapie,substantiv
acționa,verb
acționabil,adjectiv
acționalism,substantiv
acționalist,adjectiv
acționar,substantiv
acționară,substantiv
acționare,substantiv
acționat,adjectiv
acționat,substantiv
acțiune,substantiv
activ,adjectiv
activ,substantiv
activa,verb
activant,adjectiv
activant,substantiv
activare,substantiv
activat,adjectiv
activat,substantiv
activator,adjectiv
activator,substantiv
activină,substantiv
activism,substantiv
activist,adjectiv
activist,substantiv
activistă,substantiv
activistic,adjectiv
activitate,substantiv
activiza,verb
activizare,substantiv
activizat,adjectiv
activizat,substantiv
activizator,adjectiv
actogramă,substantiv
actor-cheie,substantiv
actor,substantiv
actoraș,substantiv
actoricesc,adjectiv
actorie,substantiv
actoriță,substantiv
actriță,substantiv
actual,adjectiv
actualism,substantiv
actualitate,substantiv
actualiza,verb
actualizabil,adjectiv
actualizare,substantiv
actualizat,adjectiv
actualizat,substantiv
actualizator,substantiv
actuar,substantiv
actuarial,adjectiv
actuariat,substantiv
actuator,substantiv
acuarelă,substantiv
acuarelist,adjectiv
acuarelist,substantiv
acuarelistă,substantiv
acuariu,substantiv
acuatic,adjectiv
acufunda,verb
acufundat,adjectiv
acuitate,substantiv
aculeată,substantiv
aculeu,substantiv
acultura,verb
acultural,adjectiv
aculturaliza,verb
aculturalizare,substantiv
aculturare,substantiv
aculturat,adjectiv
aculturație,substantiv
acum,adverb
acuma,adverb
acumetric,adjectiv
acumetrie,substantiv
acuminat,adjectiv
acumula,verb
acumulare,substantiv
acumulat,adjectiv
acumulat,substantiv
acumulativ,adjectiv
acumulator,adjectiv
acumulator,substantiv
acupla,verb
acuplaj,substantiv
acuplare,substantiv
acuplat,adjectiv
acupresură,substantiv
acupunctor,substantiv
acupunctură,substantiv
acupunctural,adjectiv
acupuncturist,substantiv
acupuncturistă,substantiv
acurat,adjectiv
acurateță,substantiv
acuratețe,substantiv
acușor,substantiv
acustic,adjectiv
acustică,substantiv
acustician,substantiv
acut,adjectiv
acutiza,verb
acutizare,substantiv
acutizat,adjectiv
acutumanță,substantiv
acuză,substantiv
acuza,verb
acuzabil,adjectiv
acuzare,substantiv
acuzat,adjectiv
acuzat,substantiv
acuzată,substantiv
acuzație,substantiv
acuzațiune,substantiv
acuzativ,substantiv
acuzatoare,substantiv
acuzator,adjectiv
acuzator,substantiv
acuzatorial,adjectiv
acvacultură,substantiv
acvaforte,substantiv
acvafortist,adjectiv
acvamarin,substantiv
acvanaut,adjectiv
acvanaut,substantiv
acvanautic,adjectiv
acvaplanare,substantiv
acvarist,adjectiv
acvaristică,substantiv
acvariu,substantiv
acvaterariu,substantiv
acvatic,adjectiv
acvatintă,substantiv
acvatoriu,substantiv
acvatubular,adjectiv
acvifaună,substantiv
acvifer,adjectiv
acvilă,substantiv
acvilin,adjectiv
acvilon,substantiv
acvitanian,adjectiv
ada,substantiv
adagiu,substantiv
adălmaș,substantiv
adamant,substantiv
adamantin,adjectiv
adamantină,substantiv
adamască,substantiv
adamic,adjectiv
adamism,substantiv
adamistă,substantiv
adamit,substantiv
adamitic,adjectiv
adamsită,substantiv
adânc,adjectiv
adânc,substantiv
adânca,verb
adâncat,adjectiv
adâncătură,substantiv
adânci,verb
adâncime,substantiv
adâncire,substantiv
adâncit,adjectiv
adâncit,substantiv
adâncitor,substantiv
adâncitură,substantiv
adâncos,adjectiv
adăoga,verb
adăogare,substantiv
adăogat,adjectiv
adaoge,verb
adăogi,verb
adăogire,substantiv
adăogit,adjectiv
adaos,adjectiv
adaos,substantiv
adăpa,verb
adăpare,substantiv
adăpat,adjectiv
adăpat,substantiv
adăpătoare,substantiv
adăpost,substantiv
adăposti,verb
adăpostire,substantiv
adăpostit,adjectiv
adăpostit,substantiv
adapta,verb
adaptabil,adjectiv
adaptabilitate,substantiv
adaptare,substantiv
adaptat,adjectiv
adaptat,substantiv
adaptație,substantiv
adaptativ,adjectiv
adaptator,adjectiv
adaptator,substantiv
adaptiv,adjectiv
adaptometrie,substantiv
adaptometru,substantiv
adaptor,substantiv
adăsta,verb
adăstare,substantiv
adăstat,adjectiv
adăuga,verb
adăugare,substantiv
adăugat,adjectiv
adăugat,substantiv
adăugi,verb
adăugire,substantiv
adăugit,adjectiv
adaus,substantiv
adaxial,adjectiv
addendă,substantiv
addendum,substantiv
adecuat,adjectiv
adecva,verb
adecvare,substantiv
adecvat,adjectiv
adecvație,substantiv
ademeneală,substantiv
ademeni,verb
ademenire,substantiv
ademenit,adjectiv
ademenit,substantiv
ademenitoare,substantiv
ademenitor,adjectiv
ademenitor,substantiv
adempțiune,substantiv
adenectomie,substantiv
adenie,substantiv
adenină,substantiv
adenită,substantiv
adenocarcinom,substantiv
adenofibrom,substantiv
adenogramă,substantiv
adenohipofiză,substantiv
adenoid,adjectiv
adenoidectomie,substantiv
adenoidism,substantiv
adenoidită,substantiv
adenom,substantiv
adenomatoză,substantiv
adenomectomie,substantiv
adenomegalie,substantiv
adenopatie,substantiv
adenoviroză,substantiv
adenozină,substantiv
adept,substantiv
adeptă,substantiv
adera,verb
aderare,substantiv
aderat,adjectiv
aderat,substantiv
aderent,adjectiv
aderentă,substantiv
aderență,substantiv
adermină,substantiv
adet,substantiv
adevăr-adevărat,substantiv
adevăr,substantiv
adevăra,verb
adevărare,substantiv
adevărat,adjectiv
adeveri,verb
adeverință,substantiv
adeverire,substantiv
adeverit,adjectiv
adeverit,substantiv
adeveritoare,substantiv
adeveritor,adjectiv
adeveritor,substantiv
adeziune,substantiv
adeziv,adjectiv
adeziv,substantiv
adezivitate,substantiv
adhocrație,substantiv
adia,verb
adiabată,substantiv
adiabatic,adjectiv
adiacent,adjectiv
adiacență,substantiv
adiafor,adjectiv
adiaforie,substantiv
adiaforisi,verb
adiat,adjectiv
adiată,substantiv
adicție,substantiv
adidas,substantiv
adiere,substantiv
adimeni,verb
adimenire,substantiv
adimensional,adjectiv
adinamic,adjectiv
adinamie,substantiv
adio,substantiv
adipic,adjectiv
adipocit,substantiv
adipogeneză,substantiv
adipos,adjectiv
adipozitate,substantiv
adipsie,substantiv
adiție,substantiv
adiționa,verb
adițional,adjectiv
adiționare,substantiv
adiționat,adjectiv
adițiune,substantiv
aditiv,adjectiv
aditiv,substantiv
aditivitate,substantiv
adjectiv,substantiv
adjectiva,verb
adjectival,adjectiv
adjectivare,substantiv
adjectivat,adjectiv
adjectiviza,verb
adjectivizare,substantiv
adjectivizat,adjectiv
adjoncțiune,substantiv
adjudeca,verb
adjudecare,substantiv
adjudecat,adjectiv
adjudecat,substantiv
adjudecatar,substantiv
adjudecatară,substantiv
adjudecație,substantiv
adjudecațiune,substantiv
adjudecătoare,substantiv
adjudecător,adjectiv
adjudecător,substantiv
adjunct,adjectiv
adjunct,substantiv
adjunctă,substantiv
adjutant,substantiv
adjutantură,substantiv
adjuvant,adjectiv
adjuvant,substantiv
administra,verb
administrabil,adjectiv
administrare,substantiv
administrat,adjectiv
administrată,substantiv
administrație,substantiv
administrațiune,substantiv
administrativ-teritorial,adjectiv
administrativ,adjectiv
administratoare,substantiv
administrator-contabil,substantiv
administrator,substantiv
admira,verb
admirabil,adjectiv
admirare,substantiv
admirat,adjectiv
admirat,substantiv
admirație,substantiv
admirațiune,substantiv
admirativ,adjectiv
admiratoare,substantiv
admirator,adjectiv
admirator,substantiv
admis,adjectiv
admis,substantiv
admisă,substantiv
admisibil,adjectiv
admisibilitate,substantiv
admisie,substantiv
admisiune,substantiv
admitant,adjectiv
admitanță,substantiv
admite,verb
admitere,substantiv
admonesta,verb
admonestare,substantiv
admonestat,adjectiv
admonestat,substantiv
admonestație,substantiv
admonițiune,substantiv
admonitiv,adjectiv
adnat,adjectiv
adnominal,adjectiv
adnota,verb
adnotare,substantiv
adnotat,adjectiv
adnotat,substantiv
adnotație,substantiv
adnotațiune,substantiv
adnotator,adjectiv
adogmatic,substantiv
adogmatică,substantiv
adolescent,adjectiv
adolescent,substantiv
adolescentă,substantiv
adolescență,substantiv
adolescentin,adjectiv
adolescentinism,substantiv
adonic,adjectiv
adonis,substantiv
adopta,verb
adoptabil,adjectiv
adoptant,adjectiv
adoptare,substantiv
adoptat,adjectiv
adoptat,substantiv
adoptată,substantiv
adoptatoare,substantiv
adoptator,adjectiv
adoptator,substantiv
adopțianism,substantiv
adopție,substantiv
adopțiune,substantiv
adoptiv,adjectiv
adora,verb
adorabil,adjectiv
adorant,adjectiv
adorare,substantiv
adorat,adjectiv
adorat,substantiv
adorație,substantiv
adorațiune,substantiv
adoratoare,substantiv
adorator,substantiv
adormi,verb
adormire,substantiv
adormit,adjectiv
adormit,substantiv
adormită,substantiv
adormitoare,substantiv
adormitor,substantiv
adosat,adjectiv
adragant,substantiv
adrenalină,substantiv
adrenalinemie,substantiv
adrenergic,adjectiv
adrenocorticotrop,substantiv
adresă,substantiv
adresa,verb
adresabil,adjectiv
adresabilitate,substantiv
adresant,substantiv
adresantă,substantiv
adresare,substantiv
adresat,adjectiv
adsorbant,adjectiv
adsorbant,substantiv
adsorbat,substantiv
adsorbi,verb
adsorbit,adjectiv
adsorbție,substantiv
adstrat,substantiv
aducător,adjectiv
aducător,substantiv
aduce,verb
aducere-aminte,substantiv
aducere,substantiv
aduct,substantiv
aducție,substantiv
aducțiune,substantiv
aductor,adjectiv
aductor,substantiv
adula,verb
adular,substantiv
adulare,substantiv
adulat,adjectiv
adulat,substantiv
adulată,substantiv
adulație,substantiv
adulațiune,substantiv
adulatoare,substantiv
adulator,adjectiv
adulator,substantiv
adulmeca,verb
adulmecare,substantiv
adulmecat,adjectiv
adulmecat,substantiv
adulmecător,adjectiv
adult,adjectiv
adult,substantiv
adultă,substantiv
adulter,adjectiv
adulter,substantiv
adultera,verb
adulterare,substantiv
adulterat,adjectiv
adulterin,adjectiv
adumbri,verb
adumbrire,substantiv
adumbrit,adjectiv
adumbrit,substantiv
aduna,verb
adunare,substantiv
adunat,adjectiv
adunat,substantiv
adunătoare,substantiv
adunător,adjectiv
adunător,substantiv
adunătură,substantiv
adunc,adjectiv
aduncat,adjectiv
adurmeca,verb
adurmecare,substantiv
adus,adjectiv
advecție,substantiv
advectiv,adjectiv
advent,substantiv
adventice,substantiv
adventism,substantiv
adventist,adjectiv
adventiv,adjectiv
adverb,substantiv
adverbial,adjectiv
adverbializa,verb
adverbializare,substantiv
adverbializat,adjectiv
advers,adjectiv
adversar,substantiv
adversară,substantiv
adversativ,adjectiv
adversitate,substantiv
advertising,substantiv
advocat,adjectiv
advocatură,substantiv
advon,substantiv
aed,substantiv
aediculă,substantiv
aer,substantiv
aera,verb
aeraj,substantiv
aerare,substantiv
aerarium,substantiv
aerat,adjectiv
aerație,substantiv
aerator,substantiv
aeraulică,substantiv
aerian,adjectiv
aeric,adjectiv
aerifer,adjectiv
aeriform,adjectiv
aerisi,verb
aerisire,substantiv
aerisit,adjectiv
aerlift,substantiv
aeroambulanță,substantiv
aerob,adjectiv
aerobază,substantiv
aerobic,adjectiv
aerobiologie,substantiv
aerobiotic,adjectiv
aerobioză,substantiv
aerobus,substantiv
aerobuz,substantiv
aerocartografie,substantiv
aeroclub,substantiv
aerocolie,substantiv
aerocosmic,adjectiv
aerodină,substantiv
aerodinamic,adjectiv
aerodinamică,substantiv
aerodinamician,adjectiv
aerodinamicitate,substantiv
aerodrom,substantiv
aeroduct,substantiv
aeroelasticitate,substantiv
aeroelectronică,substantiv
aerofagie,substantiv
aerofilatelic,adjectiv
aerofilatelie,substantiv
aerofobie,substantiv
aerofon,adjectiv
aerofor,substantiv
aerofotografic,adjectiv
aerofotografie,substantiv
aerofotogramă,substantiv
aerofotogrammetrie,substantiv
aerogară,substantiv
aerogen,adjectiv
aerogenerator,substantiv
aeroglisor,substantiv
aerograf,substantiv
aerografie,substantiv
aerogramă,substantiv
aeroion,substantiv
aeroionizare,substantiv
aeroionizator,substantiv
aeroionoterapie,substantiv
aerolit,substantiv
aerologic,adjectiv
aerologie,substantiv
aeromaritim,adjectiv
aeromecanică,substantiv
aerometru,substantiv
aeromobil,adjectiv
aeromodel,substantiv
aeromodelism,substantiv
aeromodelist,adjectiv
aeromotor,substantiv
aeronaut,substantiv
aeronaută,substantiv
aeronautic,adjectiv
aeronautică,substantiv
aeronavă,substantiv
aeronaval,adjectiv
aeronavigant,adjectiv
aeronavigație,substantiv
aeronomie,substantiv
aeroplan-automobil,substantiv
aeroplan,substantiv
aeroport,substantiv
aeroportuar,adjectiv
aeropoștal,adjectiv
aeropurtat,adjectiv
aeroreactor,substantiv
aeros,adjectiv
aerosol,substantiv
aerosolizat,adjectiv
aerosoloterapie,substantiv
aerospațial,adjectiv
aerostat,substantiv
aerostatic,adjectiv
aerostatică,substantiv
aerostație,substantiv
aerostier,substantiv
aerotaxi,substantiv
aeroterapie,substantiv
aeroterestru,adjectiv
aerotermă,substantiv
aerotransport,substantiv
aerotren,substantiv
aerotriangulație,substantiv
aerozină,substantiv
afabil,adjectiv
afabilitate,substantiv
afabulație,substantiv
afacere,substantiv
afacerism,substantiv
afacerist,substantiv
afaceristă,substantiv
afachie,substantiv
afagie,substantiv
afâna,verb
afânare,substantiv
afânat,adjectiv
afânat,substantiv
afânător,substantiv
afanisi,verb
afanisire,substantiv
afanisit,adjectiv
afazic,adjectiv
afazie,substantiv
afaziolog,adjectiv
afaziologie,substantiv
afebril,adjectiv
afect,substantiv
afecta,verb
afectare,substantiv
afectat,adjectiv
afectat,substantiv
afectație,substantiv
afecție,substantiv
afecționa,verb
afecționat,adjectiv
afecțiune,substantiv
afectiv,adjectiv
afectivism,substantiv
afectivitate,substantiv
afectuos,adjectiv
afectuozitate,substantiv
afeliu,substantiv
afemeiat,adjectiv
afemie,substantiv
afera,verb
aferat,adjectiv
aferent,adjectiv
aferență,substantiv
aferentație,substantiv
afereză,substantiv
afet,substantiv
afgan,substantiv
afgană,substantiv
afghan,adjectiv
afibrinogenemie,substantiv
afid,substantiv
afidă,substantiv
afidofag,adjectiv
afierosi,verb
afierosire,substantiv
afierosit,adjectiv
afif,adjectiv
afil,adjectiv
afilia,verb
afiliat,adjectiv
afiliat,substantiv
afiliată,substantiv
afiliație,substantiv
afiliațiune,substantiv
afiliere,substantiv
afin,substantiv
afină,substantiv
afina,verb
afinaj,substantiv
afinare,substantiv
afinat,adjectiv
afinată,substantiv
afinet,substantiv
afiniș,substantiv
afinitate,substantiv
afion,substantiv
